상품명,설명,맛 평가,재료,레시피
롱아일랜드 아이스티,"롱일랜드 아이스티, 줄여서 '롱티'라고도 자주 불리는 이 칵테일은 달콤한 콜라 향에 숨겨진 꽤나 높은 알콜도수를 자랑한답니다. 데킬라, 럼, 보드카 등 다양한 양주가 들어가는 칵테일계의 진정한 폭탄주로 많은 사랑을 받고 있죠!
 롱티는 미국의 금주법 시대에 만들어진 레시피라는 설이 있답니다. 술을 구하기 어려웠기에 소량으로 남았던 술들 종류불문하고 다 넣어서 한 번에 마시기 위해 섞은 것에서부터 시작되었다고 해요. 그래서인지 달콤한 콜라로 위장하기 딱 좋은 맛과 외형을 가졌으나, 한 잔으로도 금방 취할 수 있으니 방심은 금물!","도수 ★★★
단맛 ★★☆
신맛 ☆☆☆
쓴맛 ★☆☆
탄산 ★★★
얼음 ★★☆","보드카 1/2 oz
데킬라 1/2 oz
진 1/2 oz
럼 1/2 oz
트리플섹 1/2 oz
사워믹스 1 + 1/2 oz
콜라
(+) 가니쉬: 레몬 웨지
*웨지 - 과일을 대각선으로 조각내 자른 것","1. 글라스에 얼음을 먼저 넣는다.
2. 보드카, 데킬라, 진, 럼, 그리고 트리플섹을 먼저 따른 후 사워믹스까지 넣는다.
3. 남은 공간은 콜라로 가득 채워준다.
4. 바 스푼으로 천천히 저어주고 웨지 레몬으로 장식한다.
Tip: 너무 세게 저으면 콜라의 탄산이 쉽게 빠지기 때문에 천천히 저어줘야 함!"
데킬라 선라이즈,"데킬라는 멕시코의 ""할리스코(Jalisco)"" 주에 위치한 ""데킬라(Tequila)"" 지역에서만 생산되는 증류주입니다. 이를 활용한 '데킬라 선라이즈'는 이름에 걸맞게 멕시코의 일출을 표현한 칵테일이죠. 데킬라를 포함하지 않은 논알콜 버전의 '선라이즈'와 일출이 아닌 일몰을 표현한 '데킬라 선셋'과 같이 변형된 레시피도 있답니다.
 데킬라 선라이즈는 세 가지 재료만 있으면 누구나 손쉽게 만들 수 있어요. 보기에도 예쁘고 마시기에도 부담없는 달달한 오렌지 주스 맛 덕분에 홈파티에 딱이랍니다!","도수 ★☆☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★★☆","데킬라 1 + 1/2 oz
오렌지 주스 3 oz
그레나딘 시럽 (석류시럽) 1/2 oz","1. 글라스에 얼음을 채운다.
2. 데킬라와 주스를 먼저 따른다.
3. 뚜렷한 붉은색 글라데이션을 만들기 위해 시럽을 천천히 따른다.
Tip: 무거운 시럽이 음료와 섞이지 않고 예쁘게 바닥에 깔리기 위해 바스푼을 대고 따르는 것이 정석!"
깔루아밀크,"깔루아는 주원료인 커피원두와 코코아, 바닐라 등을 첨가하여 만든 멕시코의 커피 리큐르랍니다. 깔루아 원액을 마셔보면 아주 진한 커피향과 시럽같은 달짝지근한 맛이 일품이죠.
 이런 깔루아와 우유만으로 뚝딱 만들 수 있는 깔루아밀크는 제조법도 굉장히 쉽고 마시기에도 부담없는 도수로 많은 사랑을 받고 있습니다. 깔루아와 우유의 비율을 조절하며 자신의 취향에 딱 맞게 마셔볼 수 있죠. 카페인과 알콜을 동시에 섭취할 수 있는 어른의 커피우유랍니다!","도수 ★☆☆
단맛 ★★★
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★☆☆","깔루아 1 oz
우유 3 oz
Tip: 본인의 취향에 맞춰 비율 조정","1. 올드패션드 글라스에 얼음을 넣는다.
2. 글라스에 깔루아와 우유를 차례대로 넣는다.
3. 완성해버렸다.
Tip: 얼음이 녹을수록 우유의 맛이 묽어지기 때문에 얼음은 많이 넣지 않는 것을 추천!
Tip: 대체로 우유+술 조합의 칵테일은 전반적으로 양이 적어서 짧은 원통형의 '올드패션드 글라스'를 사용함"
그래스호퍼,"영어로 '메뚜기'를 의미하는 그래스호퍼는 파스텔 톤의 밝은 초록색이 특징적인 칵테일이죠. 1918년 미국 뉴올리언스의 유명한 레스토랑 ""투제스(Tujague's)""에서 개발되어, 그 다음 해에 뉴욕 칵테일 경연에서 2위를 수상하며 더욱 인기를 얻었답니다.
 그래스호퍼는 식후에 먹는 디저트 칵테일로, 시원한 민트향과 부드러운 초콜릿 맛의 조화가 매력적이랍니다. 특히 민트초코 맛 아이스크림을 좋아한다면 취향 적중이죠! 하지만 리큐르의 비중이 큰 편이기 때문에 아이스크림처럼 달콤한 맛에 방심했다간 쉽게 취할지도 몰라요~","도수 ★★☆
단맛 ★★★
신맛 ☆☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ☆☆☆","크림 드 민트(그린) 1 oz
크림 드 카카오(화이트) 1 oz
우유 1 oz
Tip: 국내 조주기능사 레시피에는 우유를 사용하지만, 국제 바텐더 협회(IBA) 레시피에는 크림으로 대체함","1. 소서형 샴페인 글라스에 얼음을 채워 칠링 시킨다.
2. 쉐이커에 얼음을 채우고 모든 재료를 넣어 쉐이킹한다.
3. 글라스에 넣어뒀던 얼음을 빼고, 쉐이킹한 재료를 얼음 없이 따라준다.
*칠링 - 글라스가 차갑도록 미리 냉각시키는 것
*소서형 샴페인 글라스 - 위가 납작하고 둥근 모양의 샴페인 잔"
블러디메리,"블러디 메리는 16세기에 신교도를 박해한 영국의 메리 튜더 여왕의 별명에서 유래되었다고 합니다. ""블러디(Bloody)""는 '피범벅'이라는 뜻으로, 살벌한 이름에 걸맞는 진한 붉은 색감이 특징적인 칵테일이죠!
 재료도 어떤 의미로 참 살벌하다고 볼 수 있는데요, 블러디 메리는 해장에 좋다는 토마토 주스가 베이스로 들어가서 해장술로도 유명하답니다. 그 외에도 다양한 소스와 소금, 후추 등 다소 당황스러운 재료가 많이 첨부되어 독특한 매력을 느낄 수 있는 칵테일이예요.","도수 ★☆☆
단맛 ★☆☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ☆☆☆
얼음 ★★☆","보드카 1 + 1/2 oz
우스터 소스 1/8 oz
타바스코 1 Dash
소금, 후추 한 꼬집
토마토 주스
(+) 가니쉬: 슬라이스 레몬 또는 셀러리
*Dash - 1ml 용량으로 대략 5~6방울 정도","1. 하이볼 글라스에 우스터 소스, 타바스코 소스, 소금, 그리고 후추를 넣는다.
2. 내용물을 바 스푼으로 섞어준다.
3. 얼음을 가득 채운 후 보드카를 따른다.
4. 남은 공간은 토마토 주스로 채우고 다시 섞어준다.
5. 슬라이스 레몬 또는 셀러리로 장식한다.
Tip: 셀러리는 안주로 같이 먹어도 맛있음!"
마티니,"""칵테일의 왕""이라고도 불리는 마티니는 감미로운 향과 강하고 쓴 맛이 특징적이며, 가니쉬로 올라가는 올리브가 화룡점정이죠! 핵심 재료인 베르무트를 생산하는 회사 ""Martini & Rossi""에서 이름이 유래 되었답니다.
 일반적으로 드라이 진과 드라이 베르무트를 사용한 '드라이 마티니'가 기본 레시피지만 그 외에도 재료의 비율, 베르무트의 종류, 진 대신 보드카 등의 변형에 따라 다양한 종류의 마티니가 있습니다.","도수 ★★★
단맛 ☆☆☆
신맛 ☆☆☆
쓴맛 ★★★
탄산 ☆☆☆
얼음 ☆☆☆","드라이 진 1 + 1/2 oz
드라이 베르무트 1/2 oz
(+) 가니쉬: 올리브, 칵테일 픽
*칵테일 픽 - 가니쉬를 꽂아 고정시킬 수 있는 장식","1. 믹싱 글라스에 진과 베르무트를 3:1 비율로 넣어 저어준다.
2. 미리 차갑게 얼려둔 마티니 글라스에 내용물을 따른다.
3. 칵테일 픽을 이용해 올리브로 장식한다.
Tip: 가니쉬로 사용된 올리브는 안주로 마티니와 잘 어울림!"
도화,"이름만큼이나 예쁜 핑크빛 색감을 가진 도화! '복숭아꽃'이라는 의미에 걸맞게 영롱한 분홍 색조에 아주 달달한 복숭아 맛을 자랑하는 칵테일이랍니다.
 도수도 세지 않아서 누구나 부담없이 편하게 마실 수 있습니다. 복숭아 리큐르를 베이스로 사용하여, 사과 주스와 석류 시럽이 들어가 과일 향이 낭낭한게 특징이죠. 이미 유명한 피치크러시 말고도 새로운 복숭아 맛 칵테일을 찾는다면 강추!","도수 ★☆☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ★☆☆
얼음 ★★☆","피치 리큐르 1 oz
트리플섹 1/2 oz
스윗앤사워 믹스 1 oz
사과주스 1 oz
그레나딘(석류) 시럽 1dash
탄산수 적당량
* dash - 용량 1ml (표준계량환산 5~6방울 정도)","1. 글라스에 얼음을 채운다.
2. 소다와 시럽을 제외하고 모든 재료를 쉐이커에 넣어 쉐이킹한다.
3. 얼음이 담긴 글라스에 그레나딘 시럽을 넣는다.
4. 글라스에 쉐이킹한 내용물을 따른다.
5. 남은 공간은 탄산수로 적절히 채워준다.
Tip: 지정된 글라스는 없지만, 복숭아 모양처럼 동그란 잔이 예쁨!"
산토리 하이볼,"하이볼이란 기본적으로 높은 도수를 가진 술에 탄산수를 타서 만드는 칵테일의 한 종류로 볼 수 있는데요! 특히 위스키에 탄산수를 타 마신 건 19세기 영국 상류층에서 먼저 유행했다고 합니다. 어떤 위스키를 쓰는지에 따라 하이볼의 맛과 향이 다르지만, 공통적으로 위스키 특유의 묵직함을 덜고 탄산수와 더불어 상큼한 맛을 살리기 위해 레몬을 넣는 경우가 많답니다.
 그 중에서도 산토리 하이볼은 일식 이자카야에서도 흔히 찾을 수 있는 유명한 칵테일이죠. 산토리라는 일본 브랜드는 위스키뿐만 아니라 맥주, 와인, 음료수 등 다양한 제품을 제조하는 어마어마한 규모의 대기업이랍니다. 산토리 위스키 중에서도 가장 유명한 ‘가쿠빈’이 보통 우리가 아는 하이볼에 사용되죠!","도수 ★☆☆
단맛 ★★☆
신맛 ★☆☆
쓴맛 ★☆☆
탄산 ★★★
얼음 ★★☆","산토리 위스키 1 oz
탄산수 3 oz
레몬 1/8 또는 1/6 조각
(+) 가니쉬: 레몬 웨지 또는 슬라이스
Tip: 탄산수의 양으로 도수 조절","1. 하이볼 글라스에 얼음을 가득 채운다.
2. 위스키를 따르고 바 스푼으로 가볍게 저어준다.
3. 탄산수를 따르고 레몬 조각의 즙을 짜 넣는다.
4. 바 스푼으로 가볍게 저어주고 레몬으로 장식한다.
Tip: 글라스를 미리 얼려두면 더욱 시원하게 즐길 수 있음!"
올드패션드,"원래 칵테일은 양주, 설탕, 그리고 비터스(리큐르의 일종, 한국에서는 ""비터""라고도 부름) 세 가지만을 사용해 제조되었답니다. 그러다 시간이 지날수록 점점 다양한 맛과 재료의 레시피들이 등장했죠.
 그럼에도 기존의 심플한 레시피는 여전히 인기가 많아서 이를 ""올드패션드(Old Fashioned)"", 즉 옛날 방식이라는 의미로 부르게 되었다고 합니다. 화려함은 없어도 묵직하고 진한 위스키의 향이 가득한 이 칵테일만의 클래식한 감성을 찾는 매니아층도 꽤나 많답니다.","도수 ★★★
단맛 ★☆☆
신맛 ☆☆☆
쓴맛 ★★☆
탄산 ★☆☆
얼음 ★☆☆","버번 위스키 1 + 1/2 oz
앙고스트라 비터스 1 dash
탄산수 1/2 oz
각설탕 1개
(+) 가니쉬: 오렌지 껍질
*dash - 비터 병에 7할 정도를 넣고 한 번 흔들 때 나오는 양","1. 올드패션드 글라스에 각설탕, 비터, 탄산수를 차례로 넣는다.
2. 스푼으로 저어주면서 각설탕을 으깨고 녹인다.
3. 글라스에 얼음을 3-4개 넣는다.
4. 버번 위스키를 넣고 다시 스푼으로 저어준다.
5. 오렌지 껍질로 장식한다.
Tip: 보통 가니쉬로 오렌지 껍질을 사용하지만, 조주기능사 레시피에는 오렌지 슬라이스와 체리로 장식함"
카시스 프라페,"""키스하기 전에 마시는 칵테일""로도 유명한 카시스 프라페!
이 칵테일을 마시면 입 안에 달콤하고 진한 향긱가 남아, 키스했을 때 상대방을 매료시킨다고 해서 붙여진 별명이예요.
 메인 재료인 '크렘 드 카시스'는 까막치밥 나무(프랑스어로 ""Cassis"") 열매로 만들어진 달콤한 베리맛 리큐르예요. 이 리큐르가 바로 카시스 프라페의 특징적인 붉은 색감을 만들어준답니다.","도수 ★★☆
단맛 ★★★
신맛 ★☆☆
쓴맛 ☆☆☆
탄산 ☆☆☆
얼음 ★★★","카시스 리큐르 3/4 oz
피치 리큐르 1/2 oz
코코넛 럼 리큐르 1/2 oz
오렌지 주스 1 oz
스윗사워 믹스 1 oz
잘게 부신 얼음","1. 잘게 부신 얼음을 마티니나 마가리타 글라스에 미리 채워둔다.
2. 쉐이커에 각얼음과 함께 모든 재료를 넣어 강하게 쉐이킹 한다.
3. 글라스에 각얼음을 걸러내면서 쉐이커의 내용물을 부어 넣는다.
Tip: 지정된 가니쉬는 없지만, 대체로 레몬이나 체리로 장식함"
