상품명,주종,도수,용량,한 줄 설명,태그,맛,향미그래프,설명,
그랑꼬또 청수 화이트와인,과실주,12.00%,750ml,대부도 포도밭에서 만들어지는 와인의 진가,#드라이한 화이트 와인 #국산 청포도 청수,드라이한 맛에 시트러스 한 향이 더해졌어요,단맛:1|산미:4|바디:4,"코르크 마개를 오픈 할 때부터 기분 좋은 꽃향이 피어올라 무척 달콤 할 것 같지만,



막상 마셔보면 드라이한 맛에 깜짝 놀랄 거예요.



절제된 시트러스 향과 삼킨 후 혀에 그대로 남는 산미와 쌉쌀함은



청수 와인의 진가를 그대로 드러내 준답니다.

드라이 하면서도 적당한 산미가 있는 전형적인 화이트 와인이라서



해산물류의 풍미가 있는 음식과 마시기 좋은데요.



은은한 탄닌이 혀를 자극하면서 기름진 맛도 잡아주기 때문에



살짝 느끼한 음식과도 좋은 궁합을 가졌어요.

그랑꼬또(Grand Coteau)는 프랑스어로 큰 언덕이란 뜻인데요.



포도가 재배되는 지역의 이름인 대부(大阜)도의 의미를 담아 상표명으로 쓴 단어랍니다.





이곳에선 9월 초에 청수를 수확해 껍질을 제거한 포도즙을



6~8주 저온 발효를 거친 후 1년여 정도 숙성시켜 만드는데요.



포도가 가진 본래의 향을 강조하기 위해서



오크통 대신 이탈리아산 대형 스테인리스 탱크를 사용해요.



독일의 유명한 화이트와인 품종인 리슬링에 들어가는 효모를 사용하는 것도



맛있는 와인을 만드는 비법 중 하나랍니다!",
아리아리 40%,일반증류주,40.00%,500ml,강원도 정선에는 아리랑 말고 아리아리도 있답니다~,#오가피 열매로 만든 증류주 #입안 가득 퍼지는 화사함,밤고구마를 먹은 듯한 구수함부터 코끝에 전해지는 화사함까지,"달콤:2|고소:1|연상되는 향:리치,밤고구마|향의 강도:3|여운:3|바디:3","열대과일 리치에서 느낄 수 있는 달달한 향을 가졌어요.



‘달콤한 맛을 가진 술일까?’ 상상하며 한 모금 들이키게 되지만,



 밤고구마를 먹은 듯한 구수함이 입 안에 스며들면서 반전을 경험하게 될 거예요. 



구수함이 사라진 다음 코끝까지 전해지는 화사함은 술을 더욱 다채롭게 즐길 수 있도록 만들어줍니다. 



물처럼 맑은 질감은 술을 편안하게 넘길 수 있도록 이끌어주지만, 



목을 자극하는 느낌과 얼얼해진 혀의 감각으로 인해 술의 높은 도수를 직감하게 하죠.

새콤하면서도 가벼운 소스를 곁들인 음식과 드셔보세요. 



묵직한 양념은 자칫 술의 화사함을 가릴 수 있거든요. 



냉채 족발이나 훈제 오리 무쌈 같은 음식과 함께한다면, 



술이 가진 화사함과 음식의 산뜻한 맛이 서로를 부각해주며 마치 입안에 형광등을 켠 듯한 화려함을 느끼게 해줄 거예요.

먼저 오가피 열매를 건조시킨 후 물에 불려요. 



불려둔 열매는 즙을 내서 엑기스만 모은 뒤, 효모를 넣고 2주간 발효합니다. 



만들어진 발효 원주는 감압 증류 방식으로 술을 내린 다음, 



증류 과정에서 생긴 불순물을 제거하여 투명한 술만 얻어요. 



그렇게 완성된 증류주는 1년이 넘는 숙성까지 거친 후에 완성됩니다. 



술의 이름은 양조장이 위치한 강원도 정선의 상징인 정선 아리랑에서 따와서 아리아리라고 붙여졌다고 해요.

",
진맥소주 53%,증류식소주,53.00%,"200ml, 500ml","서민갑부에 나온 그 양조장, 그 술 맞습니다",#SFWSC 증류주 대회 1등 #감칠맛 끝판왕,달다고 느낄정도로 감칠맛이 강해요,고소:1|화사:2|연상되는 향:빵|향의 강도:5|여운:5|바디:5,"마시기 전부터 올라오는 통밀의 향이 정말 고소한데요.



감미료도 안 들어갔는데 소주가 굉장히 달다고 느낄 정도로 단맛과 감칠맛이 뛰어납니다.



부드러움에 속아 한입에 털어 넣게 되면 코로 올라오는 알콜의 짜릿함을



온몸으로 느낄 수 있으니, 꼭! 주의하세요 :)

높은 도수인 만큼 가벼운 안주들보다는 풍미가 짙은 육류 요리와 잘 어울리는데요.



특히 소스를 곁들여 먹는 육류 요리들은 진맥소주의 스파이시함을



부드러운 풍미로 바꿔줄 거에요.



너무 차게 마시면 진맥소주 특유의 감칠맛이 줄어들 수 있으니



상온에서 마시는 것을 추천해 드립니다.

진맥이란 말은 밀의 옛 이름입니다.



‘진맥 소주’는 국내에서는 드물게, 직접 재배한 농작물을 사용하며 만들어지는 술인데요.



이때 사용되는 통밀은 10월에 파종하고 이듬해 6월에 수확하여 가을에 술로 빚어지게 됩니다.



그 후 두 번의 상압 증류를 거쳐 1년 이상의 숙성을 하면 '진맥소주' 원액이 완성되는데요.





이렇게 모든 과정을 거치는데 최소 2년이 걸린다고 하니 굉장한 정성이 들어가는 술 아닐까요?
",
말이야막걸리야 3L 대용량(케그+미니탭),탁주,6%,3000ml,토란 막걸리 들어봤나! 케그 막걸리 들어봤나! 그게 말이야막걸리야~,#막걸리도 생맥주처럼! #캠핑 인싸템,시원한 단맛을 자랑하는 깔끔 담백 막걸리,단맛:2|산미:1|씁쓸:1|바디:2|탄산:2,"술을 입에 머금고 있으면 혀를 톡톡 건드리는 옅은 탄산이 느껴져요. 



전체적으로 맛이 은은하고 담백해서 가볍게 마시기 좋은 술이랍니다.



뒤이어 느낄 수 있는 시원한 단맛은 배를 연상시키며 입안을 개운하게 만들어줄 거예요.



게다가 가벼운 질감을 갖고 있어서 텁텁함 없는 깔끔한 마무리를 자랑하죠. 
만약 캠핑 갈 일이 있다면 말이야막걸리야 대용량 막걸리를 꼭 챙겨보세요.



술의 어마어마한 용량만으로 야외 분위기를 한방에 압도시킬 수 있거든요.



또한 담백한 술맛을 가지고 있어서 캠핑에서 즐겨 먹는 어떤 요리든지 손색없이 잘 어울린답니다.



맛깔나게 준비한 음식에 술맛이 착 스며들면서 캠핑 분위기를 한껏 끌어올릴 거예요.
혹시 토란이라고 들어보셨나요?



토란은 땅에서 자라는 달걀이라고 불릴 정도로 다양한 영양성분을 쏙쏙 갖춘 덩이줄기 채소예요.



양조장이 위치한 전라남도 곡성은 토란의 최대 주산지인데요.



양조장 대표님은 지역 특산물을 활용하기 위해 곡성에서 재배한 토란으로 막걸리를 빚게 되었다고 해요.





또한 말이야막걸리야 대용량 막걸리는 페트병이나 유리병이 아닌



생맥주 가게에서나 볼 법한 케그에 담겨 있어요.



케그 병은 단단해서 술을 안전하게 보관할 수 있다는 장점이 있죠.



꼭 맥주만 케그에 담으란 법이 있나요! 이젠 막걸리도 케그에 담아 안전하고 힙하게 즐겨보세요!",
모월 인 41%,증류식소주,41.00%,500ml,우리술 품평회 대통령상을 차지한 바로 그 소주!,#쌀로만 만든 술의 정석 #그윽한 감칠맛,그윽한 짚향이 나면서 달콤하지만 자극적이에요,"고소:2|화사:1|연상되는 향:쌀밥,볏짚|향의 강도:4|여운:4|바디:4","잘 만든 쌀 소주에서는 습기를 머금은 짚 같이 그윽하면서 기름진 향이 나는데요.



모월 41%가 바로 그런 향을 가진 술이에요!





한 입 머금은 순간은 무척 달콤하고 가볍지만 삼키는 순간 고도수라는 것을 확 느낄 수 있을 정도로



알코올의 스파이시한 느낌이 혀를 짜릿하게 자극한답니다.

달콤하지만 매운 느낌이 살아있는 소주와는 혀의 자극을 없애줄



풍미 짙은 음식과 마시는 것을 추천해 드리는데요.



입안에서 느껴지는 짭짤한 맛이



소주의 감칠맛과 만나 더욱 좋은 궁합을 완성하거든요.



차갑게 마시기보단 되도록 상온에서 술의 풍미를 충분히 느끼며 마시기로 해요!

예로부터 치악산 아래의 원주는 정이 많고 텃세가 없어



누구나 살기 좋은 고향이라는 의미로 ‘모월산’, ‘모월‘로 불렸는데요.



그러한 어머니와 달의 따뜻한 이미지를 따서 술 이름을 지었답니다.





모월의 소주는 원주의 맑은 물과 토토미, 직접 빚은 누룩으로 만든 술을 동 증류기로 한 방울씩 정성껏 내리는데요.



75도의 원주를 물과 블랜딩해서 55도로 맞춘 후 안정시키고



이를 다시 물과 함께 41도로 맞춘 후 총 6개월 정도 숙성을 거쳐 완성된답니다.",
배꽃 필 무렵 잣잎 X 3병,탁주,9.00%,140ml,떠 먹는 잣 막걸리,#떠먹는 막걸리 #새콤달달,부드럽고 옅은 단맛과 새콤한 느낌의 잣향,단맛:3|산미:4|씁쓸:2|바디:5,"‘배꽃 필 무렵 잣잎’은 새콤하면서도 고소한 잣 향을 풍기는 데요.



한 입 떠먹게 되면 처음에는 새콤함이 입안을 감싸다가 점차 부드러운 단맛이 올라오는 것을 느낄 수 있을 거예요.



늘 마시던 막걸리가 지겹다면!



고려 시대부터 전해져 오는 이화주로 색다른 전통을 즐겨보시는 건 어떠세요?

되직한 질감을 지닌 이화주는 요플레를 먹을 때처럼 숟가락으로 떠먹거나



꿀과 함께 물에 타서 음료같이 마시기도 하는데요.



음식과 같이 드신다면 구운 고기류를 이화주에 디핑 소스처럼 찍어 먹거나



달콤한 디저트류와 한 입씩 즐기기 좋답니다. 

다른 첨가물 없이 쌀, 물, 누룩, 잣잎으로만 만든 ‘배꽃 필 무렵 잣잎’은 떠먹는 막걸리라고도 불리는 ‘이화주’인데요.



배나무 이(梨), 꽃 화(花) 자를 써서 아름다운 배꽃이 필 무렵에 빚는 술이라 해서 이런 이름이 지어졌습니다!



쌀로만 만들어서 새하얀 색을 띠는 전용 누룩 ‘이화곡’으로 빚은 탁주인데요.



이화주에는 물이 거의 들어가지 않아서 잼같이 되직한 식감을 갖는답니다 :)",
오미로제 연,과실주,8.00%,750ml,오미자로 만든 스파클링 와인,#오미자 스파클링 와인 #샤르마 방식 사용,새콤달콤한 오미자의 향과 톡쏘는 산미,단맛:1|산미:4|탄닌:1|바디:3|탄산:3,"향에서는 전체적으로 붉은 계열의 과일향이 가볍고 산뜻하게 느껴지는데요.



붉은 계열의 과일향이 새콤하게 풍기며 새콤달콤한 맛을 포함한



오미자의 5가지 맛을 조화롭게 느낄 수 있는 술이에요.

 

톡 쏘는 탄산감을 갖춘 술 답게 눈으로 먼저 즐기는 재미도 있으며



짧은 여운으로 가볍게 마시기 좋은 술입니다. 

'오미로제 연'은 산미가 강한 편이기에 식전주로 잘 어울리며



간단한 샐러드, 카나페, 오픈 샌드위치 등과 가볍게 한 잔하기에도 좋습니다.



또한, 식후주로도 마들렌과 같이 부드럽고 버터가 들어간 구운 과자류와도 잘 어울리며,



음식으로는 백합찜, 새우 오일 파스타와 함께 하는 것을 추천합니다.

'오미로제 연'은 시간과 비용이 많이 드는 프랑스 상파뉴 지방의 전통 방식이 아닌



이탈리아의 샤르마 마르티 노티, 샤르마 방식을 사용하는데요.



샤르마 방식은 2차 발효를 병에서 진행하는 전통 방식과 다르게



커다란 봉인된 탱크통에서 대량으로 진행하기에 시간과 비용을 절약할 수 있으며



탄산 주입식 방법보다는 좀 더 섬세한 거품이 생성되어 신선한 풍미를 만들어냅니다.",
면천 두견주 [2병/4병],약주,18.00%,"360ml, 700ml",진달래를 넣어 빚은 전설 속의 약주,#국가 무형문화재 #고려시대 약주,농밀한 꿀 같은 단맛,단맛:4|산미:2|씁쓸:3|바디:4,"찹쌀의 자연스러운 단맛과 진달래 꽃의 싱그러운 향을 조화롭게 느낄 수 있는 약주입니다.



입 안에 머금고 있으면 꽃 향기가 퍼져 나오면서 부드럽게 넘어가는데요.



높은 도수를 지닌 술 답게 알싸한 여운도 갖고 있답니다.

강하지 않은 산미와 은은한 단맛을 가진 ‘면천 두견주’의 안주로는



월남쌈, 두부 샐러드처럼 새콤달콤하면서도 양념이 강하지 않은 음식을 추천해 드립니다.



또한, 크래커나 견과류와 같은 간단한 스낵류와 가볍고 달콤하게 즐기기 좋습니다.

‘면천 두견주’는 충청남도 당진의 옛 지명인



'면천' 지역에서 진달래 꽃을 넣어 빚은 약주입니다.



진달래 꽃은 예로부터 약재로 사용되었는데요.



고려 개국 공신 복지겸 장군이 고칠 수 없는 병에 걸리자



두견주를 마시고 완치를 했다는 설화가 담겨있습니다.





남북 정상회담의 만찬주로 사용되었으며



국가 무형문화재로 지정 될 만큼 오랜 역사를 지닌 약주입니다.",
진맥소주 40%,증류식소주,40.00%,"200ml, 500ml","서민갑부에 나온 그 양조장, 그 술 맞습니다",#통밀로 만든 소주 #감칠맛이 일품,고소한 향과 감칠맛의 콜라보,"고소:2|화사:1|연상되는 향:빵,누룩|향의 강도:4|여운:4|바디:4","밀로 만든 소주인 만큼 통밀빵의 고소한 향이 코를 감싸는데요.



입안에 침이 고일 정도로 단맛과 감칠맛이 풍부하답니다.



물과 증류원액의 밸런스가 잘 잡혀있는 술답게 부드러운 목넘김을 느낄 수 있으며,



목을 넘긴 후에 코로 올라오는 스파이시함은 증류주를 좋아하는 분들에겐 더할 나위 없이



만족스러운 경험을 선사한답니다. :)

부드러우면서도 감칠맛이 일품인 진맥소주는 삶은 육류나 회처럼



담백한 음식과 먹을 때 특히 술맛이 살아나는데요.



너무 차게 마시면 진맥소주 특유의 감칠맛이



줄어들 수 있으니 상온에서 마시는 것을 추천해 드립니다.

진맥이란 말은 밀의 옛 이름입니다.



‘진맥 소주’는 국내에서는 드물게, 직접 재배한 농작물을 사용하며 만들어지는 술인데요.



이때 사용되는 통밀은 10월에 파종하고 이듬해 6월에 수확하여 가을에 술로 빚어지게 됩니다.



그 후 두 번의 상압 증류를 거쳐 1년 이상의 숙성을 하면 '진맥소주' 원액이 완성되는데요.





이렇게 모든 과정을 거치는데 최소 2년이 걸린다고 하니 굉장한 정성이 들어가는 술 아닐까요?",
맑은 문희주,약주,13.00%,"500ml, 750ml",H.O.T보다 핫한 술!,#수제약주 #달달한맛,짙은 쌀 본연의 단맛,단맛:5|산미:2|씁쓸:1|바디:5,"물보다 쌀이 더 많이 들어가는 맑은 문희주는 그만큼 짙고 두꺼운 쌀의 단맛이 특징이에요.



첨가물에서 오는 단맛이 아닌 오랜 시간 자연 발효와



숙성에서 오는 단맛을 좋아하시는 분께 추천 드린답니다.

짙은 단맛을 지닌 고급스러운 술인 만큼 담백한 소고기의 식감을 더 화려하게 만들어주는데요.



마치 꿀처럼 입에 착 감기는 맛이 해산물과 함께 곁들일 때



새로운 마리아주를 경험해 볼 수 있답니다.

문희란 이름은 '문경새재를 넘어 장원급제의 기쁜소식을 알린다'는 뜻이 있습니다.



술 빚는 모든 과정을 손으로 직접 하는 만큼 대량 생산이 어려운 아날로그 제품이에요.



문경의 맑은 물, 유기농 찹쌀, 그리고 직접 빚는 누룩으로 세 번 빚어 만든 삼양주로



황토방에서 100일이상 숙성해 만든답니다.



숙성용 옹기도 무형문화재 장인이 만드는 옹기라니 대단하지 않나요?",
감홍로,일반증류주,40.00%,400ml,이기숙 명인 집안 대대로 전해 내려오던 전통을 빚은 술,#목을 강타하는 강렬한 맛 #깊은 계피의 풍미,은은하면서도 깊이 있게 스며드는 계피의 풍미,달콤:2|화사:1|연상되는 향:계피|향의 강도:4|여운:4|바디:4,"술을 마시자마자 목을 강타하는 매운맛에 깜짝 놀라게 될 거예요. 



입 안에 가득 퍼진 은은한 계피 향과 달콤쌉쌀한 풍미로 인해 마치 설탕을 묻힌 추로스를 먹은 듯한 기분을 느낄 수 있답니다. 



술을 넘긴 후에는 목을 뜨끈하게 만드는 작열감이 몸속까지 전달되고, 다시금 잔잔하게 올라오는 매콤함이 여운을 선사해줄 거예요.

기분이 좋아질 정도로 달콤한 디저트와 함께 즐겨보세요. 



단맛은 술에서 느낄 수 있는 쌉쌀함과 매콤한 풍미를 부드럽게 잡아주기 때문이에요. 



게다가 술이 갖고 있는 계피의 풍미는 단맛만으로는



단조로울 수 있던 음식 맛을 채워주기 때문에 디저트만으로도 충분한 안주가 될 거예요.

달 감(甘), 붉을 홍(紅), 이슬 로(露)를 써서 말 그대로 ‘단맛이 나는 붉은색의 이슬 같은 술’이라는 뜻이에요. 



하지만 맛의 균형을 위해 붉은색을 결정짓는 지초의 양을 줄임으로써 현재 감홍로는 맑은 갈색빛을 띠고 있습니다. 



또한 감홍로만의 특색있는 병 디자인은 한복 치마폭을 표현하여 우리나라의 전통적인 의미를 담아내었고, 



병에 새겨진 문양은 우리나라 주류 문화가 나비처럼 훨훨 날아올라 언젠가 꽃을 피우겠다는 양조장만의 소망이 담겨 있습니다.",
담은 블랙 [3병/6병10병],탁주,6.50%,750ml,"구름을 담은 듯한 막걸리, 이번엔 흑미 버전이에요!",#달콤한 맛과 부드러운 질감 #고소함은 덤,초코 우유를 마신 듯한 부드러운 달콤함,단맛:3|산미:2|씁쓸:1|바디:3,"술을 따르자마자 진한 자줏빛과 묵직한 질감이 시선을 끌게 만듭니다.



흑미로 만든 술인 만큼 잔에 코를 가져다 대면 고소한 흑미밥 냄새가 올라와요.



술을 머금자마자 입안에 퍼지는 달콤함과 부드러운 질감은 마치 초코 우유를 마신 듯한 기분을 선사합니다.



술을 넘긴 후 입안에 남게 된 옅은 씁쓸함 마저 다크 초콜릿을 떠올리게 할 거예요.

입안을 매섭게 자극하는 매운 음식과 드셔보세요!



담은 블랙은 달콤하고 부드러운 질감을 가지고 있어 매운 음식으로 달아오른 입안을 달래주는 역할을 하거든요.



매운 음식을 아무리 먹더라도 담은 블랙을 한 잔 곁들이면, 



입안은 금방 차분하게 가라앉게 될 거예요.



 

반면, 기름진 음식은 피하시는 것을 추천해 드려요.



부드러운 질감에 산미가 거의 없는 술인만큼 기름진 맛을 잘 잡아주지 못할뿐더러



입안을 텁텁하게 만들 수 있기 때문이죠.

담은 블랙은 생쌀을 곱게 갈아 발효를 하기 때문에 고운 입자감을 자랑해요.



또한 흑미가 들어간 술인만큼 어두운 자주색을 띠고 있죠.



흑미로만 술을 만들게 되면 술의 질감이 무거워진다는 특징이 있는데요.



백미를 함께 넣음으로써 부드러운 질감의 술을 만들 수 있도록 이끌었다고 합니다.



 

담은 막걸리는 ‘구름은 어떤 맛일까?’라는 호기심을 시작으로 탄생하게 되었어요.



라벨의 그림 또한 구름을 연상하게 만드는 이미지를 그려 넣었답니다.



제품 디자인을 전공하신 양조장 대표님의 미적 감각이 만나 만들어진 작품이라고 볼 수 있죠.",
김포 특주 [12병/20병],살균약주,15%,375ml,통진미로 빚은 김포의 특별한 술,#부담없이 마시기 좋아요 #고소달콤,가벼운 단맛으로 부담없이 마시기 좋아요~,단맛:3|산미:2|씁쓸:4|바디:3,"‘김포특주’는 익숙한 장(醬)의 향을 구수하게 내뿜는 술이에요.



전체적으로 은은한 단맛과 구수한 풍미를 느낄 수 있는데요.



균형 잡힌 맛과 깔끔한 여운을 갖고 있어서 가볍게 반주로 한잔하기 좋은 술입니다. 

‘김포 특주’는 짭조름함, 달콤함, 구수함 등 복합적인 맛을 지닌 술이라 다양한 한식 요리와 잘 어울립니다.



특히 담백하고 가벼운 들깨 무침이나 간장게장과 함께 한다면 맛있게 한잔 즐길 수 있을 거예요:)



‘김포 특주’ 특유의 구수한 향이 부담스러울 땐 시원한 온도에서



반대로 풍부하게 느끼고 싶다면 냉장 보관된 술을 꺼내 상온에서 15분 정도 둔 후



마시는 것을 추천해 드립니다.

‘김포 특주’는 품질 좋기로 유명한 ‘김포 금쌀’을 사용하여 빚은 술이에요.



곡식이 귀하던 1950년대에 쌀로 빚은 특별한 고급 약주라는 의미로



?‘특주’라고 명명되었는데요.



그 이름에 걸맞게 예로부터 팔도 명주로 꼽히기도 했답니다.
",
N38 포도 증류주 28%,일반증류주,28.00%,375ml,38선이 지나는 연천에서 빚은 포도 증류주예요,#포도잼처럼 달큰한 향 #물처럼 편안한 목 넘김,포도잼처럼 달콤한 향을 갖고 있어요,"달콤:2|화사:1|연상되는 향:대추,포도|향의 강도:4|여운:4|바디:4","포도에 설탕을 넣고 졸인 듯, 달콤한 향을 갖고 있는 술이에요. 



생밤에서 느낄 법한 고소함도 은은하게 경험할 수 있죠. 



맑은 질감을 갖고 있어서 물처럼 편안하게 넘어가지만, 



술의 높은 도수로 인해 입 안은 금세 얼얼해진답니다.

와인과 즐겨 먹는 고기 안주와 함께해 보세요. 



포도의 달큰한 풍미가 살아있는 술이기 때문에 와인으로 입 안을 적신 듯한 기분을 들게 하거든요. 



포도 풍미가 고기 맛을 감싸주고 알코올이 입 안을 정돈해주니, 



마치 마법에 걸린 것처럼 자꾸만 손이 가게 될 거예요.
N38 포도 증류주 28%를 빚고 있는 예진 양조장은 경기도 연천에 있어요. 



연천은 38선이 지나는 곳으로, 전쟁의 아픔과 분단의 슬픔을 겪었던 역사 현장이기도 하죠. 



양조장 대표님은 연천이 가진 지역적 의미를 술에 담고 싶으셨대요. 



그래서 38선이 지나는 연천에서 언젠가 하나 될 한반도의 새로운(NEW) 시대를 열겠다는 뜻으로,



N38이라는 이름이 붙여지게 됐습니다. ",
려 고구마 증류소주 40%,증류식소주,40.00%,375ml,코 끝에 자리잡는 달큰한 고구마 향,#고구마로 만든 소주 #맛있는 '려'석들,고소 달콤한 고구마와 고도수 증류주 매력에 빠져보세요,"고소:2|화사:1|연상되는 향:고구마,쌀밥|향의 강도:5|여운:4|바디:4","구수하면서도 달콤한 고구마 향과 산뜻한 풀내음이 싱그럽게 나는 술입니다.



도수가 높은 술이지만 고소, 달콤, 매콤 등등의 복합적인 풍미가 조화롭게 느껴집니다.



목을 넘긴 후에도 오랫동안 차분하게 입안을 맴도는 고구마의 풍미가 정말 기분 좋게 만들어요 :)

높은 도수를 가진 이 술은



곱창, 고등어회처럼 풍미 짙고 기름진 음식과 깔끔하게 잘 어우러지는데요.



높은 도수가 부담스럽다면 얼음을 넣어 온더락으로 혹은



물을 1~2방울부터 최대 5:5 비율까지 넣어 부드럽고 가볍게 즐기는 방법도 있습니다 :)

수확한 지 일주일이 지나지 않은 품질 좋은 햇고구마만 이용하여 만들어지는데요.



상압식 증류 방식을 사용하여 복합적이고 중후한 풍미를 갖고 있으며



옹기 숙성을 통해 부드러운 목 넘김을 나타내는 게 특징입니다.",
선호 생 막걸리 X 20병,탁주,6.00%,750ml,누구나 다 선호 할 만한 맛,#통닭구이 #깔끔함 #드라이한,가벼운 산미와 포도의 상큼한 향,단맛:2|산미:3|씁쓸:2|바디:1|탄산:4,"포도의 상큼한 향이 가볍게 풍기며 한 잔 마셨을 때도 그대로 느낄 수 있는 술이에요.



달콤하지 않지만 씁쓸함도 없고 전체적으로 맛이 옅은 술입니다.



시원한 느낌을 주는 파란색 병과 술을 따를 때부터 들려오는 보글보글



탄산 소리가 갈증이 날 때마다 선호 막걸리를 떠올리게 만드는데요.



실제로 알코올 도수가 낮고 탄산수처럼 청량함과 가벼운 맛을 지니고 있어서



벌컥벌컥 마시기에 좋습니다.
선호 막걸리는 강한 탄산과 청량감이 특징인 술로 냉장 보관을 충분히 한 뒤



차가운 상태에서 마시는 것을 추천해 드립니다.



맛이 강하지 않고 가벼운 편이라 여러 종류의 술을 마시게 된다면 첫술로 즐기기에 좋은데요.



대부분의 음식과 조화로운 편이지만 양념이나 향이 강한 음식만 피하신다면



술의 깔끔한 매력을 더욱 잘 느낄 수 있을 거예요.
‘누구나 선호할만한 맛을 가진다’라는 뜻의 선호 막걸리는



이름에 걸맞게 누구나 즐길 수 있는 대중성을 가졌습니다.



좋은 쌀로 유명한 김포 금쌀로 만들어졌고



효모가 살아있는 생 막걸리의 특징인 청량감과 깔끔함 모두를 가지고 있습니다.",
포그막 X 2병,탁주,10%,500ml,안개꽃이 만개한 것처럼 입안 가득 채워주는 부드러움을 느껴보세요,#새콤한 요거트 같은 #꾸덕꾸덕한 질감,꾸덕한 요거트를 마신 듯한 새콤함,단맛:4|산미:4|씁쓸:2|바디:4,"자두에서 느낄 법한 풋풋하면서도 새콤달콤한 향을 가진 술이에요.



한 모금 마시면 마치 안개꽃이 만개한 것처럼 입안을 가득 채워주는 술의 질감을 경험할 수 있는데요.



입안 가장자리를 톡 건드리는 산미까지 더해져 마치 꾸덕꾸덕한 요거트를 마신 듯한 기분을 선사한답니다.



뒤이어 퍼지는 쌀의 고소한 향은 여운으로 남아 술의 풍미를 차곡히 채워주는 역할을 해줄 거예요.
부드러운 질감에 새콤달콤한 맛을 가진 술인 만큼 과일이 들어간 디저트와 즐겨보세요.



요거트에 과일 토핑을 얹어서 먹은 것처럼 상큼함을 배로 경험할 수 있거든요.



또한 꾸덕한 바디감을 갖고 있어서 안주 없이 단독으로만 즐겨도 기분 좋은 포만감을 느낄 수 있을 거예요.
일반적으로 막걸리는 발효를 마친 다음 물을 넣어 도수를 낮게 만들어요.



도수가 낮아진 만큼 음용성은 좋지만, 발효 원주만의 맛이 묽어진다는 특징이 있죠.



하지만 포그막은 물을 전혀 타지 않은 *전내기라서 본래의 맛을 그대로 경험할 수 있답니다.



게다가 누룩 대신 신맛을 강하게 생성하는 맥주 샤워 효모를 사용하여 더욱더 생동감 넘치는 산미를 끌어올렸다고 해요.",
청비성 21%,약주,21%,500ml,술을 통해 지혜와 덕을 쌓아보세요,#진득한 단맛 #고소한 쌀 풍미,쌀에서 느낄 수 있는 단맛과 고소함을 가득 담았어요,단맛:3|산미:1|씁쓸:3|바디:4,"마치 유과를 먹은 것처럼 조청에서 느낄 법한 달콤함을 진득하게 담은 술이에요.



달콤함이 사라질 즘에는 알코올에서 비롯되는 쌉쌀함이 가득 찰 거예요.



그리고 다시금 고소한 풍미가 올라오며 여운을 남깁니다.
고소한 소스를 곁들이는 음식과 함께 해보세요.



술의 쌉쌀한 풍미를 부드럽게 잠재워주는 것은 물론,



쌀의 고소함은 더욱 풍성하게 느낄 수 있을 거예요.
청비성은 애주가의 궤변이자 *주덕송으로 여겨지고 있는 중국 당나라 시인 이백의 ‘월하독작’에서 가져온 이름입니다. 



그중에서도 ‘청주는 *성인과 같다’를 뜻하는 ‘이문청비성’이란 구절을 인용했어요. 



술을 마시는 것이 지혜와 덕을 쌓는 일이라 보는 것처럼



여러분들도 청비성 한 잔으로 지와 덕을 쌓아보시기를 바랍니다.


",
토끼소주 블랙 40%,증류식소주,40%,375ml,미국인이 출시한 우리나라 전통 증류식 소주,#중식과 잘 어울리는 #화사한 향의 쌀 증류주,고소함으로 시작해서 화려하게 마무리돼요,고소:1|화사:2|연상되는 향:깻잎|향의 강도:4|여운:4|바디:4,"술을 마시자마자 고소한 향이 은은하게 스며드는 술이에요.



하지만 그 고소함은 금방 증발하고 말 거예요.



깻잎에서 느낄 법한 향긋한 향이 입안 분위기를 화사하게 바꿔버리거든요.



그 뒤로 알코올이 남기고 간 자극으로 인해 입안은 서서히 얼얼해지고



얼얼함이 목에 전해질 때쯤에는 술이 지나간 모든 곳에 매운 음식을 먹은 것처럼 화~한 자극이 전해져요.

오랜만에 기름진 중국 음식이 당긴다! 싶을 때 토끼소주 블랙과 함께 곁들어보세요.



토끼소주의 화사한 마무리가 중식 특유의 기름진 맛을 깔끔하게 잡아준답니다.



게다가 술의 높은 도수까지 더해지니 고량주의 빈자리를 아쉽지 않게 도와줄 거예요.

브랜든 힐이라는 미국인이 우리나라 전통 소주를 현대 증류 방식으로 생산한 술이에요.



성인이 되자마자 술을 빚어왔던 그는 우리나라에 처음 방문했을 때 전통 증류주를 맛보자마자 그 맛에 반했다고 해요.



그 감동은 술을 빚겠다는 결심으로 다져졌고 그렇게 탄생한 술이 바로 토끼소주랍니다. 



또한 토끼소주라는 이름은 달에 토끼가 살고 있다는 민속 설화와 



우리나라에 처음 방문한 2011 신묘년에 영감을 받아 붙여지게 되었다고 해요.",
